codigo_escola;nome_escola;ideb_2019;tipo_anos;codinep;tipoesc;nomesc;subpref;coddist;codsub;universalizacao_2019;universalizacao_2020;gastos_2019;EDU_PER_CAPITA_anual_2020;DISTRITO_x;REMUNERACAO_BRUTA;EDU_VALOR_TOTAL_ANUAL_2020;ORC_REMUNERACAO_BRUTA_UBS_2020;SAU_HORAS_CONTRATADAS_DIST_2020;SAU_HORAS_APONTADAS_DIST_2020;SAU_HORAS_APONTADAS_POR_CONTRATADAS_DIST_2020;SAU_PORCENTAGEM_HORAS_CUMPRIDAS_DIST_2020;ORC_GASTO_UBS_2020
35053028;EMEF EMILIANO DI CAVALCANTI;6.5;iniciais;35053028.0;EMEF;EMILIANO DI CAVALCANTI;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35053028;EMEF EMILIANO DI CAVALCANTI;5.5;finais;35053028.0;EMEF;EMILIANO DI CAVALCANTI;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35053036;EMEF LEONOR MENDES DE BARROS;6.1;iniciais;35053036.0;EMEF;LEONOR MENDES DE BARROS;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35053036;EMEF LEONOR MENDES DE BARROS;5.6;finais;35053036.0;EMEF;LEONOR MENDES DE BARROS;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35055050;EMEF SILVIO FLEMING MJ;6.6;iniciais;35055050.0;EMEF;SILVIO FLEMING, MJ.;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35055050;EMEF SILVIO FLEMING MJ;5.1;finais;35055050.0;EMEF;SILVIO FLEMING, MJ.;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35055062;EMEF MAUA BR DE;6.3;iniciais;35055062.0;EMEF;BR. DE MAUA;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
35055062;EMEF MAUA BR DE;5.5;finais;35055062.0;EMEF;BR. DE MAUA;MOOCA;1.0;25.0;73.24;67.5;44979394.62;11270.21;AGUA RASA;36253814,51;44979394,62;3393344.0;49690.0;47286.0;-2404.0;0.9516;23113896,87
0;#N/D;;iniciais;;;;PINHEIROS;2.0;11.0;168.92;155.9;;7733.38;ALTO DE PINHEIROS;0;3286684,96;0.0;52712.0;43608.0;-9104.0;0.8273;2356816,45
0;#N/D;;finais;;;;PINHEIROS;2.0;11.0;168.92;155.9;;7733.38;ALTO DE PINHEIROS;0;3286684,96;0.0;52712.0;43608.0;-9104.0;0.8273;2356816,45
