Distritos;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
AGUA RASA ;135;85;78;90;118;97;107;151;179;174;166;157;143;117;201
ALTO DE PINHEIROS ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANHANGUERA ;647;597;518;574;595;564;518;586;658;521;750;867;1.030;961;784
ARICANDUVA ;222;161;167;173;173;176;272;354;332;252;348;361;512;699;840
ARTUR ALVIM ;79;33;107;81;46;57;47;86;65;88;129;160;208;383;636
BARRA FUNDA ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BELA VISTA ;151;100;162;190;226;234;160;244;279;342;306;377;446;0;430
BELEM ;0;26;65;0;0;0;0;0;0;0;0;0;0;389;0
BOM RETIRO ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRAS ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRASILANDIA ;1.513;1.333;1.437;1.612;1.606;1.559;1.919;2.200;2.468;2.467;2.769;2.858;3.249;4.532;4.052
BUTANTA ;835;763;756;768;717;688;627;720;872;881;1.098;1.167;1.501;1.899;2.029
CACHOEIRINHA ;479;328;327;405;371;296;324;409;422;706;787;971;1.182;1.332;1.300
CAMBUCI ;503;503;551;537;625;544;660;629;736;538;492;417;594;1.179;422
CAMPO BELO ;234;146;237;241;367;318;192;155;317;312;555;577;515;730;900
CAMPO GRANDE ;500;548;529;501;491;573;437;592;743;784;794;651;1.170;2.610;1.600
CAMPO LIMPO ;1.642;1.382;1.485;1.344;1.517;1.619;1.572;1.658;2.007;2.212;2.831;3.451;3.283;4.080;4.110
CANGAIBA ;852;673;654;582;469;498;425;471;706;746;830;965;781;878;765
CAPAO REDONDO ;3.018;2.361;2.217;2.452;2.726;2.636;2.611;2.709;3.457;3.084;4.352;5.956;5.187;7.760;6.524
CARRAO ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69
CASA VERDE ;193;303;194;263;193;185;222;269;304;294;301;449;502;592;605
CIDADE ADEMAR ;576;487;497;603;553;457;662;843;1.022;911;1.355;1.505;1.611;2.227;2.406
CIDADE DUTRA ;1.065;824;912;918;836;1.007;1.080;1.115;1.424;1.421;1.856;1.744;1.913;2.439;2.559
CIDADE LIDER ;1.057;899;989;1.132;974;1.050;1.041;1.064;1.385;1.447;1.327;1.131;1.738;1.519;1.805
CIDADE TIRADENTES ;1.310;1.240;1.169;1.354;1.139;1.109;1.319;1.053;1.245;1.783;2.077;2.224;2.827;3.278;3.275
CONSOLACAO ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CURSINO ;263;237;268;174;254;175;242;199;208;184;284;190;113;210;140
ERMELINO MATARAZZO ;635;620;577;551;581;817;661;613;874;659;772;1.009;1.171;2.204;1.563
FREGUESIA DO O ;48;152;229;304;351;404;386;453;570;522;697;971;1.182;1.225;1.406
GRAJAU ;1.520;1.187;1.093;1.362;1.599;1.508;1.559;1.839;2.350;2.118;2.925;3.612;3.413;4.332;4.061
GUAIANASES ;781;754;890;880;845;804;870;909;844;870;727;1.006;1.422;2.695;1.834
IGUATEMI ;726;663;812;866;1.027;817;735;600;800;986;1.046;1.087;1.343;1.768;2.195
IPIRANGA ;295;226;170;245;307;295;417;357;362;395;443;405;373;467;447
ITAIM BIBI ;0;0;0;25;47;50;30;45;112;204;325;321;329;373;351
ITAIM PAULISTA ;1.155;853;807;959;939;875;880;727;965;1.099;1.576;1.468;2.133;2.467;2.531
