Distrito;Ano;Matrículas
AGUA RASA ;2020;135
AGUA RASA ;2019;85
AGUA RASA ;2018;78
AGUA RASA ;2017;90
AGUA RASA ;2016;118
AGUA RASA ;2015;97
AGUA RASA ;2014;107
AGUA RASA ;2013;151
AGUA RASA ;2012;179
AGUA RASA ;2011;174
AGUA RASA ;2010;166
AGUA RASA ;2009;157
AGUA RASA ;2008;143
AGUA RASA ;2007;117
AGUA RASA ;2006;201
ALTO DE PINHEIROS ;2020;0
ALTO DE PINHEIROS ;2019;0
ALTO DE PINHEIROS ;2018;0
ALTO DE PINHEIROS ;2017;0
ALTO DE PINHEIROS ;2016;0
ALTO DE PINHEIROS ;2015;0
ALTO DE PINHEIROS ;2014;0
ALTO DE PINHEIROS ;2013;0
ALTO DE PINHEIROS ;2012;0
ALTO DE PINHEIROS ;2011;0
ALTO DE PINHEIROS ;2010;0
ALTO DE PINHEIROS ;2009;0
ALTO DE PINHEIROS ;2008;0
ALTO DE PINHEIROS ;2007;0
ALTO DE PINHEIROS ;2006;0
ANHANGUERA ;2020;647
ANHANGUERA ;2019;597
ANHANGUERA ;2018;518
ANHANGUERA ;2017;574
ANHANGUERA ;2016;595
ANHANGUERA ;2015;564
ANHANGUERA ;2014;518
ANHANGUERA ;2013;586
ANHANGUERA ;2012;658
ANHANGUERA ;2011;521
ANHANGUERA ;2010;750
ANHANGUERA ;2009;867
ANHANGUERA ;2008;1030
ANHANGUERA ;2007;961
ANHANGUERA ;2006;784
ARICANDUVA ;2020;222
ARICANDUVA ;2019;161
ARICANDUVA ;2018;167
ARICANDUVA ;2017;173
ARICANDUVA ;2016;173
ARICANDUVA ;2015;176
ARICANDUVA ;2014;272
ARICANDUVA ;2013;354
ARICANDUVA ;2012;332
ARICANDUVA ;2011;252
ARICANDUVA ;2010;348
ARICANDUVA ;2009;361
ARICANDUVA ;2008;512
ARICANDUVA ;2007;699
ARICANDUVA ;2006;840
ARTUR ALVIM ;2020;79
ARTUR ALVIM ;2019;33
ARTUR ALVIM ;2018;107
ARTUR ALVIM ;2017;81
ARTUR ALVIM ;2016;46
ARTUR ALVIM ;2015;57
ARTUR ALVIM ;2014;47
ARTUR ALVIM ;2013;86
ARTUR ALVIM ;2012;65
ARTUR ALVIM ;2011;88
ARTUR ALVIM ;2010;129
