Distrito;taxa
Água Rasa;0,05
Anhanguera ;0
Aricanduva ;0,04
Artur Alvim ;0,02
Bela Vista ;0
Belém ;0
Brasilândia ;0,01
Butantã ;0
Cachoeirinha ;0,02
Campo Belo;0
Campo Grande ;0,02
Campo Limpo ;0,14
Cangaíba;0
Capão Redondo ;0,12
Carrão ;0,36
Casa Verde ;0
Cidade Ademar ;0,02
Cidade Dutra ;0,05
Cidade Líder ;0,04
Cidade Tiradentes ;0,01
Cursino ;0
Ermelino Matarazzo ;0
Freguesia do Ó ;0
Grajaú ;0,01
Guaianases ;0,03
Moema ;0
Iguatemi ;0,07
Ipiranga ;0
Itaim Bibi ;0
Itaim Paulista ;0
Itaquera ;0
Jabaquara ;0,04
Jaçanã ;0,03
Jaguara ;0,08
Jaguaré ;0
Jaraguá ;0
Jardim Ângela ;0,03
Jardim Helena ;0,04
Jardim São Luís ;0,02
José Bonifácio ;0,04
Liberdade ;0
Limão ;0
Mandaqui ;0
Moóca ;0,42
Morumbi ;0
Parelheiros ;0
Pari ;0,19
Parque do Carmo ;0,24
Pedreira ;0,01
Penha ;0
Perdizes ;0
Perus ;0,11
Pinheiros ;0,48
Pirituba ;0,12
Ponte Rasa ;0,02
Raposo Tavares ;0,01
Rio Pequeno ;0,08
Sacomã ;0,02
Santana ;0,12
Santo Amaro ;0
São Lucas ;0,04
São Mateus ;0,11
São Miguel ;0,02
São Rafael ;0,06
Sapopemba ;0
Saúde ;0
Sé ;0,14
Socorro ;0
Tatuapé ;0
Tremembé ;0
Tucuruvi ;0
Vila Andrade ;0,15
Vila Curuçá ;0,01
Vila Formosa ;0,09
Vila Guilherme ;0,06
Vila Jacuí ;0,08
Vila Leopoldina ;0
Vila Maria ;0,02
Vila Mariana ;0
Vila Matilde ;0,05
Vila Medeiros ;0,06
Vila Prudente ;0,16
Vila Sônia ;0,4
São Domingos ;0,05
Lajeado ;0
