coddist;Distrito;Faixa 1;Faixa 2;Faixa 3;Faixa 4;Faixa 5;Faixa 6
1;AGUA RASA;;;3;1;;
3;ANHANGUERA;1;2;3;1;;
4;ARICANDUVA;;1;1;1;1;
5;ARTUR ALVIM;;;5;1;;
7;BELA VISTA;;1;;;;
8;BELEM;;;1;;;
11;BRASILANDIA;6;4;3;4;;
12;BUTANTA;;;;;2;1
13;CACHOEIRINHA;;2;4;1;;
15;CAMPO BELO;;;2;1;;
16;CAMPO GRANDE;1;;3;;2;
17;CAMPO LIMPO;1;1;5;10;;
18;CANGAIBA;;1;1;2;1;
19;CAPAO REDONDO;2;6;10;2;;
20;CARRAO;;;2;;1;
21;CASA VERDE;;;2;1;;
22;CIDADE ADEMAR;1;3;3;1;;
23;CIDADE DUTRA;;;9;4;1;
24;CIDADE LIDER;1;;4;2;;
25;CIDADE TIRADENTES;10;4;8;3;;
27;CURSINO;;1;1;;;
28;ERMELINO MATARAZZO;;;3;;;
29;FREGUESIA DO O;1;;4;3;;
30;GRAJAU;2;2;4;5;;
31;GUAIANASES;;;4;;;
33;IGUATEMI;1;;10;3;;
34;IPIRANGA;;2;;;;
35;ITAIM BIBI;;;2;;;
36;ITAIM PAULISTA;2;;5;5;;
37;ITAQUERA;;;4;2;;
38;JABAQUARA;1;;4;2;;
39;JACANA;1;;2;1;;
40;JAGUARA;;;1;1;;
41;JAGUARE;1;;;1;;
42;JARAGUA;3;4;12;3;;
43;JARDIM ANGELA;2;1;4;6;;
44;JARDIM HELENA;2;2;4;2;;
46;JARDIM SAO LUIS;2;5;2;4;;
47;JOSE BONIFACIO;2;;3;1;;
96;LAJEADO;;;2;5;;
49;LIBERDADE;;;1;;;
50;LIMAO;1;1;;;;
51;MANDAQUI;;;4;;;
32;MOEMA;;;1;;;
53;MOOCA;;;;1;;
54;MORUMBI;;1;;;;
55;PARELHEIROS;1;;2;2;;
56;PARI;1;;;;;
57;PARQUE DO CARMO;1;;1;;;
58;PEDREIRA;2;1;3;2;;
59;PENHA;1;;;;;
60;PERDIZES;;;1;;;
61;PERUS;4;2;3;;;
62;PINHEIROS;;;1;;;
63;PIRITUBA;;1;3;4;;
64;PONTE RASA;;;3;3;;
65;RAPOSO TAVARES;5;1;6;1;;
67;RIO PEQUENO;3;2;3;;;
68;SACOMA;2;4;7;1;;
70;SANTANA;;;1;3;;
71;SANTO AMARO;;;1;1;1;
95;SAO DOMINGOS;1;1;3;1;1;
72;SAO LUCAS;2;;4;2;;
73;SAO MATEUS;1;;5;1;;
74;SAO MIGUEL;;;3;3;;1
75;SAO RAFAEL;1;4;3;1;;
76;SAPOPEMBA;8;4;10;;;
77;SAUDE;;;;1;;
78;SE;;1;;;;
79;SOCORRO;;;1;;2;
80;TATUAPE;;;;2;;1
81;TREMEMBE;2;1;3;2;;
82;TUCURUVI;;;2;;1;
83;VILA ANDRADE;3;3;;;;
84;VILA CURUCA;1;1;8;2;;
85;VILA FORMOSA;;;1;1;;
86;VILA GUILHERME;;;2;;1;
87;VILA JACUI;1;;8;1;;
88;VILA LEOPOLDINA;1;;1;;;
89;VILA MARIA;2;2;3;;;
90;VILA MARIANA;;;1;;;
91;VILA MATILDE;;;5;1;1;
92;VILA MEDEIROS;1;1;2;1;;
93;VILA PRUDENTE;2;;1;1;;
94;VILA SONIA;2;;2;1;;
